rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
5,rest,walk_forward,2024,272,0.5330882352941176,0.6913849022582224,0.2491175886075411
5,rest,walk_forward,2025,272,0.5367647058823529,0.6904029372340114,0.24862930092851876
5,rest,fixed_holdout,all,544,0.5349264705882353,0.6909151317527945,0.2488839822943498
8,all,walk_forward,2020,256,0.609375,0.6512249800301837,0.22907701558687782
8,all,walk_forward,2021,272,0.6139705882352942,0.6522100864881241,0.22995730963353037
8,all,walk_forward,2022,271,0.6236162361623616,0.6466105960891921,0.22733401994998464
8,all,walk_forward,2023,272,0.5955882352941176,0.6590644745018743,0.23326772043061586
8,all,walk_forward,2024,272,0.6507352941176471,0.6311548890240516,0.22080995643883505
8,all,walk_forward,2025,272,0.6176470588235294,0.6407129406667359,0.2253585659272365
8,all,fixed_holdout,all,544,0.6323529411764706,0.6359033145550913,0.22306385864178768
8,epa,walk_forward,2020,256,0.61328125,0.6415523931606186,0.2259988726668995
8,epa,walk_forward,2021,272,0.6066176470588235,0.6512107332189506,0.22944240542792543
8,epa,walk_forward,2022,271,0.6383763837638377,0.6454157440920772,0.22672552696812082
8,epa,walk_forward,2023,272,0.5955882352941176,0.6597831462448899,0.23356581499643117
8,epa,walk_forward,2024,272,0.6507352941176471,0.6312202933270129,0.2208213275287851
8,epa,walk_forward,2025,272,0.6213235294117647,0.6404052661527669,0.22518446162879419
8,epa,fixed_holdout,all,544,0.6360294117647058,0.6358250983718579,0.22300748982330657
8,epa_pace,walk_forward,2020,256,0.61328125,0.6430273308694153,0.22666975207230566
8,epa_pace,walk_forward,2021,272,0.6176470588235294,0.6524456460362948,0.23004184047606077
8,epa_pace,walk_forward,2022,271,0.6236162361623616,0.6465770624718106,0.22731000800709505
8,epa_pace,walk_forward,2023,272,0.5955882352941176,0.6596892607989919,0.23352745573712902
8,epa_pace,walk_forward,2024,272,0.6544117647058824,0.6311084658418198,0.22077023605110727
8,epa_pace,walk_forward,2025,272,0.6176470588235294,0.6406920274900845,0.22535755469292149
8,epa_pace,fixed_holdout,all,544,0.6360294117647058,0.6358734215966839,0.22304524378106186
8,epa_rest,walk_forward,2020,256,0.61328125,0.649496828026572,0.22839206095594555
8,epa_rest,walk_forward,2021,272,0.6066176470588235,0.6509152411131351,0.22932825961930933
8,epa_rest,walk_forward,2022,271,0.6383763837638377,0.6453825431773106,0.22671614925167524
8,epa_rest,walk_forward,2023,272,0.5955882352941176,0.659132405170604,0.2332956440096646
8,epa_rest,walk_forward,2024,272,0.6470588235294118,0.6312571420919841,0.22085691959245504
8,epa_rest,walk_forward,2025,272,0.6176470588235294,0.6404482258228912,0.22519854011779347
8,epa_rest,fixed_holdout,all,544,0.6323529411764706,0.635861379238401,0.22303070346168644
8,pace,walk_forward,2020,256,0.48828125,0.7140718515038409,0.2601625828760083
8,pace,walk_forward,2021,272,0.5257352941176471,0.688958126576286,0.24792973509100888
8,pace,walk_forward,2022,271,0.5608856088560885,0.6802698310382724,0.24360659621901287
8,pace,walk_forward,2023,272,0.5404411764705882,0.6838018098104249,0.24537135432572488
8,pace,walk_forward,2024,272,0.5404411764705882,0.6890185521633407,0.2479642463692415
8,pace,walk_forward,2025,272,0.5551470588235294,0.6877338349850892,0.24733620573524143
8,pace,fixed_holdout,all,544,0.5514705882352942,0.6883974036209554,0.2476609022790761
8,rest,walk_forward,2020,256,0.49609375,0.7126913308537167,0.25642379687841
8,rest,walk_forward,2021,272,0.5147058823529411,0.6945854227429561,0.25071460041243204
8,rest,walk_forward,2022,271,0.5571955719557196,0.6868441160764971,0.2468547582886956
8,rest,walk_forward,2023,272,0.5551470588235294,0.6868071184512159,0.24683689590395322
8,rest,walk_forward,2024,272,0.5330882352941176,0.6913849022582224,0.2491175886075411
8,rest,walk_forward,2025,272,0.5367647058823529,0.6904029372340114,0.24862930092851876
8,rest,fixed_holdout,all,544,0.5349264705882353,0.6909151317527945,0.2488839822943498
